code_commune;annee;prix_m2;surface_reelle_bati;nb_ventes
1001;2020;1508.3519376305098;132.85714285714286;15
1002;2020;2022.908834586466;47.0;10
1004;2020;2530.613621523985;91.92613636363636;433
1005;2020;3277.989223233269;105.47826086956522;57
1006;2020;2326.979166666667;110.0;12
1007;2020;2087.122525941186;102.0;39
1008;2020;1895.941434439584;88.0;12
1009;2020;1172.3463458624572;193.75;43
1010;2020;1657.5789902218544;104.875;36
1011;2020;;;18
1012;2020;5855.102325211022;76.0;21
1013;2020;1275.4416691703311;95.66666666666669;12
1014;2020;2548.252364968944;98.23809523809524;56
1015;2020;1976.3195217933128;97.11111111111111;84
1016;2020;1112.1637426900586;147.33333333333334;10
1017;2020;1143.242645204592;88.5;25
1021;2020;2794.5912190318736;111.04545454545456;40
1022;2020;1175.2520359769233;96.55555555555556;17
1023;2020;;;15
1024;2020;7092.125955834299;433.28;66
1025;2020;2021.0932212970577;126.26530612244898;132
1026;2020;1918.1470007228356;124.27272727272728;23
1027;2020;2770.275713888513;114.42857142857144;38
1028;2020;1659.6995539668471;130.25;13
1029;2020;1710.851202993242;117.88888888888889;30
1030;2020;3718.5074782714287;108.88;45
1031;2020;2249.953592564348;352.0;94
1032;2020;2658.6069267595863;134.59259259259258;62
1033;2020;3029.1323538560578;91.68599033816425;481
1034;2020;2537.270793706248;86.83544303797468;293
1035;2020;1250.0;60.0;15
1036;2020;2823.935729868866;102.88;104
1037;2020;1110.0;71.0;18
1038;2020;2336.001175427497;125.14285714285714;30
1039;2020;2046.872743445324;78.33333333333333;223
1040;2020;1935.4368932038835;103.0;14
1041;2020;1684.3778767528768;95.85714285714286;15
1042;2020;2057.54481684313;122.0;22
1043;2020;4724.055301393607;328.2;231
1044;2020;4754.699113374835;102.33333333333331;14
1045;2020;;;6
1046;2020;2047.832329385845;126.41176470588236;58
1047;2020;2406.505763948808;121.66666666666669;43
1049;2020;3062.2857828337;114.26666666666668;76
1050;2020;1459.2302290499886;94.71428571428572;12
1051;2020;2596.3636363636365;79.2;9
1052;2020;;;8
1053;2020;4296.133152446972;180.4189189189189;879
1054;2020;2984.563649177766;84.44444444444444;48
1056;2020;690.8263090676884;89.33333333333333;10
1057;2020;2161.280128842634;104.25;30
1058;2020;1955.6012352859368;88.33333333333333;33
1060;2020;737.9313950019423;191.75;19
1061;2020;2173.7056274819747;122.08333333333331;48
1062;2020;2846.3732873774115;119.66666666666669;13
1063;2020;2780.0496917867413;82.14285714285714;25
1064;2020;1869.6027320791245;82.3125;40
1065;2020;1779.8727368458842;172.25;27
1066;2020;1148.2206518971227;97.75;16
1068;2020;1413.496863662203;95.5;37
1069;2020;2745.2348901865894;108.83333333333331;17
1071;2020;41034.85248808959;101.45081967213116;282
1072;2020;2333.0464924419875;224.0952380952381;105
1073;2020;3176.7189670841176;123.46153846153848;46
1074;2020;2637.0828506652324;93.44;42
1075;2020;2303.241718635527;115.875;33
1076;2020;1315.2173913043478;92.0;20
1077;2020;2074.743709226468;75.2;27
1078;2020;4254.730334892056;90.3846153846154;36
1079;2020;1529.9108726650957;133.375;41
1080;2020;1655.3387902647344;93.33333333333331;22
1081;2020;2035.5540498931264;94.5;26
1082;2020;1878.6626520112968;88.0;52
1083;2020;5366.384771591338;110.41176470588236;56
1084;2020;2022.517927729053;88.71428571428571;21
1085;2020;2134.617025471805;118.57142857142856;22
1087;2020;714.2857142857143;70.0;4
1088;2020;3529.561671763507;92.66666666666669;17
1089;2020;2056.849224622277;117.77777777777776;72
1090;2020;3012.543335254009;100.8;38
1092;2020;1831.7067634114264;155.4;85
1093;2020;2326.183523485024;117.21818181818182;135
1094;2020;2748.806108196694;103.625;34
1095;2020;754.1868807273172;125.0;38
1096;2020;1199.9587590759077;123.2;52
1098;2020;2005.311910180628;215.14285714285717;30
1099;2020;2706.6752315963627;159.875;52
1100;2020;861.1111111111111;107.5;34
1101;2020;568.6274509803922;102.0;4
1102;2020;1734.824898359496;235.54545454545453;34
1103;2020;4399.199111256185;89.23529411764706;37
1104;2020;3253.678120963229;89.6;44
1105;2020;5207.866324623941;108.28;59
1106;2020;1231.0445793475594;133.66666666666666;9
1107;2020;979.8333333333334;60.0;10
1108;2020;1442.0931097799244;112.6470588235294;46
1109;2020;4345.025983841303;88.51612903225806;101
1110;2020;1041.0377358490566;156.0;88
1111;2020;1477.1414922442386;116.5;21
1112;2020;862.0614055502749;486.0;27
1113;2020;1984.6277719903144;128.25;25
1114;2020;;;26
1115;2020;2518.271603178474;90.1818181818182;19
1116;2020;1524.9252793965993;102.75;6
1117;2020;;;6
1118;2020;2368.606249278474;83.33333333333333;69
1121;2020;;;1
1123;2020;2006.5314945259424;114.75;45
1124;2020;1250.794842168;107.9090909090909;30
1125;2020;1345.521865960164;93.5;87
1127;2020;1895.535165492098;109.71428571428572;43
1128;2020;1342.966968847899;147.0;20
1129;2020;2499.6011168727564;112.0;16
1130;2020;1762.5624138164758;121.52631578947368;104
1133;2020;2534.008606112845;115.0;32
1134;2020;1953.5081183922416;113.12903225806453;52
1135;2020;4500.920059222906;109.94871794871794;119
1136;2020;1918.1353871962924;132.0;61
1138;2020;1692.7715028297114;95.23684210526316;102
1139;2020;974.0351696234048;83.5;19
1140;2020;1823.0720957965132;143.0;23
1141;2020;1821.1773561336636;121.5;31
1142;2020;3137.1409588330803;148.88571428571427;98
1143;2020;91349.14281348416;98.7554347826087;430
1145;2020;1961.196781446666;99.8181818181818;30
1146;2020;;;2
1147;2020;1373.587632808872;78.38461538461539;31
1148;2020;1740.6359786997346;127.1818181818182;39
1149;2020;2023.6742336773912;108.33333333333331;35
1150;2020;1015.625;64.0;34
1151;2020;1891.9216182313928;97.55555555555556;28
1152;2020;1694.5470431277286;130.2;40
1153;2020;25988.80517726116;88.13333333333334;157
1155;2020;;;5
1156;2020;2553.322201248729;96.33333333333331;11
1157;2020;2495.8816697723887;108.3;69
1158;2020;4002.325422416442;109.0;46
1159;2020;1730.6669738257128;103.53333333333332;38
1160;2020;5142.9398810771245;80.85770750988142;521
1162;2020;;;2
1163;2020;1672.4948073684172;94.65;68
1165;2020;2642.277955718795;118.02564102564102;114
1166;2020;3193.291319979671;110.41666666666669;59
1167;2020;2595.2133400947746;113.0;34
1169;2020;2167.3744671883487;108.54545454545456;24
1170;2020;1483.364818867054;106.25;20
1171;2020;1342.863977599916;313.8;37
1173;2020;72613.2030023292;87.55506607929516;647
1174;2020;4012.784090909091;65.75;15
1175;2020;1722.9518842264858;100.85714285714286;35
1177;2020;1020.875104427736;112.0;7
1179;2020;2138.3455364343795;112.0;60
1180;2020;;;16
1181;2020;1534.9729062717956;444.2;10
1183;2020;3921.204002166084;179.8;68
1184;2020;1316.471108714434;124.14285714285714;30
1185;2020;1479.2651153999827;117.75925925925924;264
1187;2020;2492.9837096468063;64.5;109
1188;2020;1658.0499184977791;146.25;34
1189;2020;2746.47229230913;83.66666666666667;25
1190;2020;1493.5064935064936;154.0;15
1191;2020;1685.2112676056338;142.0;9
1192;2020;3077.2223265673824;123.375;34
1193;2020;;;3
1194;2020;3230.203783838547;91.125;123
1195;2020;2045.574176913559;118.1;50
1196;2020;1470.8277092574574;107.6923076923077;34
1197;2020;2374.123513791071;103.42857142857144;20
1198;2020;1670.0680272108846;99.33333333333331;21
1199;2020;1640.4204069100017;91.66666666666669;80
1200;2020;1053.064431639602;99.0;7
1202;2020;2329.458694714323;98.07042253521126;164
1203;2020;2062.3891774616754;139.6153846153846;55
1204;2020;2210.7698189537423;91.0909090909091;20
1207;2020;2126.637675296656;123.5;3
1208;2020;1621.6216216216217;111.0;2
1209;2020;3059.8144625878563;159.83333333333334;39
1210;2020;1848.2337688802563;38.0;35
1211;2020;2015.192295331016;117.92857142857144;69
1212;2020;1720.0322325408383;83.71428571428571;17
1213;2020;2136.5704070455054;96.2;65
1214;2020;1180.2631578947369;74.0;31
1216;2020;1796.2242021665484;117.25;55
1219;2020;;;30
1224;2020;6336.157682242367;91.8;117
1225;2020;2489.530913978495;155.57142857142858;22
1227;2020;2012.6498693318968;111.2;19
1228;2020;3144.73410884919;90.0;20
1229;2020;1687.035664405399;148.66666666666666;47
1230;2020;1753.277694562032;107.2;14
1231;2020;1860.486391710166;126.875;51
1232;2020;5712.82395633425;85.2;92
1233;2020;2740.0910063853084;220.33333333333331;118
1234;2020;;;8
1235;2020;3228.253354568165;112.36363636363636;32
1236;2020;1555.7307371900288;133.5;26
1237;2020;1311.8528931734552;128.5;20
1238;2020;3376.005138901742;104.0;38
1239;2020;2069.566736547869;72.33333333333333;22
1240;2020;1896.2561669851611;87.55555555555556;58
1241;2020;2884.0047563950893;72.76923076923077;36
1243;2020;2812.9639841862104;102.25;31
1244;2020;2743.776411062121;97.39024390243902;216
1245;2020;1762.2560000834635;101.5;70
1246;2020;1952.691018127529;104.03225806451611;58
1247;2020;1968.4443758652587;28.210526315789476;37
1248;2020;3248.096016369505;115.42857142857144;59
1249;2020;4260.077745539164;136.97674418604652;236
1250;2020;3030.1775776139607;111.4;29
1252;2020;3888.2971068627153;125.15384615384616;39
1254;2020;1954.4625134990683;134.375;38
1255;2020;1278.1825487632125;48.333333333333336;38
1257;2020;2571.4565837929854;99.33333333333331;10
1258;2020;3035.79726210656;116.41666666666669;38
1259;2020;2500.160058364037;108.6;24
1260;2020;2602.1717996289426;119.33333333333331;24
1261;2020;3825.967245082438;113.7;15
1262;2020;3505.606174086705;193.3636363636364;167
1263;2020;2427.759133616325;110.41463414634148;63
1264;2020;1836.4744602771927;116.0;59
1265;2020;1522.2752337979432;146.2;26
1266;2020;2392.8060297669176;93.93023255813954;247
1267;2020;1334.9846811803334;111.33333333333331;39
1268;2020;3274.5917960971724;71.5;9
1269;2020;6672.921904586916;63.03508771929825;86
1272;2020;1845.1268654314204;99.58823529411764;71
1273;2020;1827.723144392872;105.34782608695652;72
1274;2020;1471.7791270772125;137.66666666666666;9
1275;2020;4727.493239760778;117.25714285714284;73
1276;2020;2779.1885208564468;97.75;25
1277;2020;1604.1666666666663;55.0;2
1280;2020;1385.1010101010102;104.5;88
1281;2020;4459.149519666184;94.65454545454546;148
1282;2020;;;2
1283;2020;1814.486004793177;116.22289156626506;334
1284;2020;1595.8561345250148;283.625;41
1285;2020;3138.367372603273;120.06666666666666;26
1286;2020;2646.854429404485;109.14285714285714;21
1288;2020;4211.478891678633;105.1219512195122;139
1289;2020;2380.5573540717564;128.49180327868854;127
1290;2020;2588.9525181094123;95.06666666666666;44
1291;2020;1655.534351145038;178.33333333333334;20
1293;2020;;;3
1294;2020;1983.0990171697304;125.28571428571428;43
1295;2020;2336.260639521509;98.75;25
1296;2020;1567.3076923076924;52.0;25
1297;2020;2411.2271002921457;148.33333333333334;28
1298;2020;3275.743119266055;109.0;2
1299;2020;2356.674334879973;110.0;32
1301;2020;2060.634193673296;100.83333333333331;53
1302;2020;1800.0;135.0;2
1303;2020;1502.5832404777807;115.0909090909091;41
1304;2020;1839.6684592459872;103.9;65
1305;2020;2771.293098258802;73.0;62
1306;2020;2968.894236473572;77.05714285714286;52
1307;2020;27666.040295153896;417.75;10
1308;2020;4905.080782312925;146.0;86
1309;2020;;;1
1310;2020;1381.9922537473967;240.4;35
1311;2020;2435.2941176470586;40.5;19
1313;2020;5871.426734297935;103.1818181818182;223
1314;2020;2243.9522479513084;88.125;96
1317;2020;2086.5;110.0;7
1318;2020;1994.6657612909928;178.11111111111111;16
1319;2020;2133.29510416267;101.45454545454544;37
1320;2020;2384.878459693435;113.73076923076924;123
1321;2020;2520.235313584132;116.5;33
1322;2020;2933.96052265512;124.03703703703704;204
1323;2020;1536.3176502425777;155.375;32
1325;2020;2147.6545590116225;110.14285714285714;46
1328;2020;2286.346273891545;93.42857142857144;20
1329;2020;544.5544554455446;101.0;4
1330;2020;1197.2979797979797;189.0;20
1331;2020;892.8571428571429;84.0;36
1332;2020;1906.7819349938225;511.8888888888889;25
1333;2020;2685.4012300826257;397.1333333333333;52
1334;2020;2274.6752078170007;85.33333333333333;19
1335;2020;2410.646929824561;107.5;4
1336;2020;3269.108103616824;130.33333333333334;24
1337;2020;1622.4848266212937;262.125;39
1338;2020;5104.242272057021;74.61538461538461;41
1339;2020;4077.4056871690577;98.0;11
1342;2020;3847.542242703533;81.5;21
1343;2020;1581.7278345591033;206.94117647058823;70
1344;2020;1830.00844093693;102.09411764705882;231
1345;2020;1907.960385668894;103.52631578947368;47
1346;2020;2076.67170057276;101.0;47
1347;2020;3191.4903830638764;121.46666666666668;78
1348;2020;2357.5101884108;137.12121212121212;94
1349;2020;3254.2923914652133;124.71428571428572;24
1350;2020;1949.3375667794;124.59375;85
1351;2020;2624.4264595120094;104.89473684210526;66
1352;2020;2208.034653752045;86.5;20
1353;2020;2891.9022744787467;106.5;38
1354;2020;8051.327651676302;91.12269938650309;702
1355;2020;1527.74926686217;131.16666666666666;9
1356;2020;2186.1246762856085;102.0;7
1357;2020;1623.000081679327;90.25;13
1358;2020;1768.1818181818182;110.0;12
1359;2020;1240.0776531492666;68.5;13
1360;2020;4119.650757439464;101.3846153846154;50
1361;2020;2530.3356055913323;75.44444444444444;103
1362;2020;2509.536194995686;79.25;19
1363;2020;1948.2537324334733;103.58823529411764;42
1364;2020;2182.0352564102564;122.0;90
1365;2020;1951.551346060988;140.3;50
1366;2020;2077.4781852279507;116.9;22
1367;2020;1398.906327299558;95.42857142857144;25
1368;2020;2303.3876953899767;100.125;16
