code_commune;annee;prix_m2;surface_reelle_bati;nb_ventes;code_insee;nom_standard;code_postal;dep_code;dep_nom;reg_code;reg_nom;population;densite;superficie_km2;latitude_centre;longitude_centre;zone_emploi;dept;annee_cible;taux_global_tfb;taux_global_tfnb;taux_plein_teom;taux_global_th
1001;2022;2930.586506632071;131.46666666666667;43;1001.0;L'Abergement-Clémenciat;1400.0;01;Ain;84.0;Auvergne-Rhône-Alpes;779.0;48.7;16.0;46.153;4.926;8405.0;01;2022.0;38.82;118.47;9.95;28.63
1002;2022;2575.6038755412387;135.33333333333334;24;1002.0;L'Abergement-de-Varey;1640.0;01;Ain;84.0;Auvergne-Rhône-Alpes;256.0;27.1;9.0;46.009;5.428;8405.0;01;2022.0;38.82;118.47;9.95;28.63
1004;2022;3452.219200641121;234.21383647798743;1028;1004.0;Ambérieu-en-Bugey;1500.0;01;Ain;84.0;Auvergne-Rhône-Alpes;14134.0;570.5;24.0;45.961;5.373;8405.0;01;2022.0;38.82;118.47;9.95;28.63
1005;2022;11225.915648889944;99.3939393939394;151;1005.0;Ambérieux-en-Dombes;1330.0;01;Ain;84.0;Auvergne-Rhône-Alpes;1751.0;106.1;16.0;45.996;4.912;8434.0;01;2022.0;38.82;118.47;9.95;28.63
1006;2022;1421.0526315789473;95.0;15;1006.0;Ambléon;1300.0;01;Ain;84.0;Auvergne-Rhône-Alpes;112.0;18.9;6.0;45.75;5.594;8404.0;01;2022.0;38.82;118.47;9.95;28.63
1007;2022;2226.149509957465;144.06;224;1007.0;Ambronay;1500.0;01;Ain;84.0;Auvergne-Rhône-Alpes;2800.0;81.3;34.0;46.006;5.358;8405.0;01;2022.0;38.82;118.47;9.95;28.63
1008;2022;2508.951108714781;105.14285714285714;15;1008.0;Ambutrix;1500.0;01;Ain;84.0;Auvergne-Rhône-Alpes;762.0;144.1;5.0;45.937;5.333;8405.0;01;2022.0;38.82;118.47;9.95;28.63
1009;2022;2382.3780430010697;110.28571428571428;58;1009.0;Andert-et-Condon;1300.0;01;Ain;84.0;Auvergne-Rhône-Alpes;326.0;47.6;7.0;45.787;5.658;8404.0;01;2022.0;38.82;118.47;9.95;28.63
1010;2022;2003.5255936150927;139.08333333333334;95;1010.0;Anglefort;1350.0;01;Ain;84.0;Auvergne-Rhône-Alpes;1105.0;38.1;29.0;45.909;5.795;8416.0;01;2022.0;38.82;118.47;9.95;28.63
1011;2022;3362.3883857578544;65.11111111111111;61;1011.0;Apremont;1100.0;01;Ain;84.0;Auvergne-Rhône-Alpes;368.0;25.8;15.0;46.206;5.658;8425.0;01;2022.0;38.82;118.47;9.95;28.63
1012;2022;2345.5320399764846;75.0;36;1012.0;Aranc;1110.0;01;Ain;84.0;Auvergne-Rhône-Alpes;329.0;15.1;22.0;46.002;5.511;8404.0;01;2022.0;38.82;118.47;9.95;28.63
1013;2022;1528.3598656629067;83.42857142857143;35;1013.0;Arandas;1230.0;01;Ain;84.0;Auvergne-Rhône-Alpes;143.0;10.2;14.0;45.891;5.499;8405.0;01;2022.0;38.82;118.47;9.95;28.63
1014;2022;6702.812424029952;244.3404255319149;192;1014.0;Arbent;1100.0;01;Ain;84.0;Auvergne-Rhône-Alpes;3349.0;143.3;24.0;46.284;5.691;8425.0;01;2022.0;38.82;118.47;9.95;28.63
1015;2022;2050.3214376629603;108.15384615384616;123;1015.0;Arboys en Bugey;1300.0;01;Ain;84.0;Auvergne-Rhône-Alpes;650.0;28.6;13.0;45.724;5.653;8404.0;01;2022.0;38.82;118.47;9.95;28.63
1016;2022;1253.2780701754386;101.2;79;1016.0;Arbigny;1190.0;01;Ain;84.0;Auvergne-Rhône-Alpes;460.0;26.5;18.0;46.478;4.96;59.0;01;2022.0;38.82;118.47;9.95;28.63
1017;2022;1118.853396981627;99.22222222222224;167;1017.0;Argis;1230.0;01;Ain;84.0;Auvergne-Rhône-Alpes;457.0;56.4;8.0;45.934;5.482;8405.0;01;2022.0;38.82;118.47;9.95;28.63
1019;2022;;;6;1019.0;Armix;1510.0;01;Ain;84.0;Auvergne-Rhône-Alpes;27.0;4.1;7.0;45.854;5.584;8404.0;01;2022.0;38.82;118.47;9.95;28.63
1021;2022;3333.2762680464016;95.05;72;1021.0;Ars-sur-Formans;1480.0;01;Ain;84.0;Auvergne-Rhône-Alpes;1457.0;256.0;6.0;45.994;4.822;8434.0;01;2022.0;38.82;118.47;9.95;28.63
1022;2022;1413.119930444973;136.0;72;1022.0;Artemare;1510.0;01;Ain;84.0;Auvergne-Rhône-Alpes;1249.0;329.9;3.0;45.87;5.691;8404.0;01;2022.0;38.82;118.47;9.95;28.63
1023;2022;1050.7768835233624;75.25;22;1023.0;Asnières-sur-Saône;1570.0;01;Ain;84.0;Auvergne-Rhône-Alpes;76.0;14.1;5.0;46.386;4.884;59.0;01;2022.0;38.82;118.47;9.95;28.63
1024;2022;6181.614554466245;289.7164179104478;258;1024.0;Attignat;1340.0;01;Ain;84.0;Auvergne-Rhône-Alpes;3251.0;171.8;19.0;46.286;5.18;8405.0;01;2022.0;38.82;118.47;9.95;28.63
1025;2022;3476.1090600539005;1204.8867924528302;408;1025.0;Bâgé-Dommartin;1380.0;01;Ain;84.0;Auvergne-Rhône-Alpes;4065.0;72.0;40.0;46.323;4.953;59.0;01;2022.0;38.82;118.47;9.95;28.63
1026;2022;3300.6117205593428;72.9090909090909;54;1026.0;Bâgé-le-Châtel;1380.0;01;Ain;84.0;Auvergne-Rhône-Alpes;973.0;1048.9;1.0;46.308;4.929;59.0;01;2022.0;38.82;118.47;9.95;28.63
1027;2022;3320.107231798874;103.3076923076923;71;1027.0;Balan;1360.0;01;Ain;84.0;Auvergne-Rhône-Alpes;2563.0;148.8;18.0;45.831;5.108;8421.0;01;2022.0;38.82;118.47;9.95;28.63
1028;2022;3670.8612290002607;87.16666666666667;61;1028.0;Baneins;1990.0;01;Ain;84.0;Auvergne-Rhône-Alpes;617.0;67.6;9.0;46.114;4.902;8434.0;01;2022.0;38.82;118.47;9.95;28.63
1029;2022;1988.506589590305;513.8;46;1029.0;Beaupont;1270.0;01;Ain;84.0;Auvergne-Rhône-Alpes;685.0;49.0;14.0;46.429;5.26;8405.0;01;2022.0;38.82;118.47;9.95;28.63
1030;2022;2573.996742427877;83.7;71;1030.0;Beauregard;1480.0;01;Ain;84.0;Auvergne-Rhône-Alpes;829.0;921.3;1.0;46.001;4.756;8434.0;01;2022.0;38.82;118.47;9.95;28.63
1031;2022;2159.4302819096174;74.95238095238095;116;1031.0;Bellignat;1100.0;01;Ain;84.0;Auvergne-Rhône-Alpes;3652.0;462.8;8.0;46.237;5.636;8425.0;01;2022.0;38.82;118.47;9.95;28.63
1032;2022;11401.521224851209;79.26086956521739;229;1032.0;Béligneux;1360.0;01;Ain;84.0;Auvergne-Rhône-Alpes;3376.0;250.6;13.0;45.859;5.14;8421.0;01;2022.0;38.82;118.47;9.95;28.63
1033;2022;19872.914476137496;86.42298850574713;1138;1033.0;Valserhône;1200.0;01;Ain;84.0;Auvergne-Rhône-Alpes;16378.0;262.6;15.0;46.107;5.832;8416.0;01;2022.0;38.82;118.47;9.95;28.63
